save,physical_time_s,physical_time_us,metric,units,C1_value,C2_value,C2_minus_C1,relative_difference,classification,note
1,5e-08,0.049999999999999996,Y_OH_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,rhoY_HO2_integral,kg/m-depth,0.0,8.145111181125631e-16,8.145111181125631e-16,nan,roundoff-level,
1,5e-08,0.049999999999999996,rhoY_HO2_max_valid_gas,kg/m3,0.0,6.50625688e-06,6.50625688e-06,nan,small-to-moderate,
1,5e-08,0.049999999999999996,rhoY_HO2_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,Y_HO2_max_valid_gas,mass fraction,0.0,1.0150266612140125e-06,1.0150266612140125e-06,nan,small-to-moderate,
1,5e-08,0.049999999999999996,Y_HO2_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,rhoY_H2O2_integral,kg/m-depth,0.0,1.0777483162841009e-19,1.0777483162841009e-19,nan,roundoff-level,
1,5e-08,0.049999999999999996,rhoY_H2O2_max_valid_gas,kg/m3,0.0,1.6317e-09,1.6317e-09,nan,small-to-moderate,
1,5e-08,0.049999999999999996,rhoY_H2O2_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,Y_H2O2_max_valid_gas,mass fraction,0.0,2.0927722754233395e-10,2.0927722754233395e-10,nan,small-to-moderate,
1,5e-08,0.049999999999999996,Y_H2O2_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,rhoY_H2O_integral,kg/m-depth,0.0,4.0535383638606046e-19,4.0535383638606046e-19,nan,roundoff-level,
1,5e-08,0.049999999999999996,rhoY_H2O_max_valid_gas,kg/m3,0.0,4.30807e-09,4.30807e-09,nan,small-to-moderate,
1,5e-08,0.049999999999999996,rhoY_H2O_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,Y_H2O_max_valid_gas,mass fraction,0.0,6.72092416427347e-10,6.72092416427347e-10,nan,small-to-moderate,
